entry_identifier,start_date,end_date,source_ip,dest_ip,tool,user_context,command,description,output,comments,operator_name,extra_fields,oplog_id,tags
4145,2024-03-21 00:25:44,2024-03-21 00:25:44.417400,63.79.24.226,174.200.177.205,Poseidon,fwilliams@mays.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Failed,Attempting to upload a file,Deborah Hunter,,,
4146,2024-06-25 06:47:52,2024-06-25 06:47:52.763203,206.174.99.211,126.91.142.205,OST,sarahallen@combs-anderson.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Christy Green,,,
4147,2024-06-17 12:12:25,2024-06-17 12:12:25.035120,112.130.185.251,174.200.177.205,Poseidon,jschmitt@martinez.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Richard Mcbride,,,
4148,2024-05-01 07:07:44,2024-05-01 07:07:44.543842,163.193.224.188,174.200.177.205,Cobalt Strike,sfranklin@gordon.com,pwd,PID 29413,Failed,Obtaining current working directory,Christy Green,,,
4149,2024-01-17 10:09:31,2024-02-10 20:35:05,155.225.136.72,84.240.138.150,Cobalt Strike,jschmitt@martinez.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Christy Green,,,
4150,2024-02-22 11:23:44,2024-02-22 11:23:44.092676,42.118.146.148,64.69.133.141,OST,jschmitt@martinez.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Deborah Hunter,,,
4151,2024-03-11 01:37:42,2024-03-11 01:37:42.243780,63.79.24.226,18.176.66.97,Cobalt Strike,seanlopez@green-bullock.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Richard Mcbride,,,
4152,2024-01-04 20:30:14,2024-01-31 14:55:12,42.118.146.148,157.2.65.239,OST,fwilliams@mays.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
4153,2024-04-04 20:58:45,2024-04-04 20:58:45.883354,42.118.146.148,174.200.177.205,OST,hendersonjohn@dalton-lam.com,ls,PID: 13267,Success,Listing files and directories,Richard Mcbride,,,
4154,2024-01-23 11:04:22,2024-02-06 11:52:08,63.79.24.226,174.200.177.205,Cobalt Strike,hendersonjohn@dalton-lam.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Richard Mcbride,,,
4155,2024-06-30 08:19:06,2024-06-30 08:19:06.125022,206.0.98.240,157.2.65.239,OST,seanlopez@green-bullock.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Christy Green,,,
4156,2024-05-20 05:01:00,2024-05-20 05:01:00.459295,206.0.98.240,126.91.142.205,Cobalt Strike,jschmitt@martinez.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Christy Green,,,
4157,2024-02-04 18:45:14,2024-02-16 02:13:12,163.193.224.188,84.240.138.150,Poseidon,fwilliams@mays.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Success,Conducting container discovery,Christy Green,,,
4158,2024-05-21 21:11:02,2024-05-21 21:11:02.273124,63.79.24.226,126.91.142.205,OST,johngross@jones.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Richard Mcbride,,,
4159,2024-04-25 21:17:25,2024-04-25 21:17:25.438401,206.174.99.211,35.79.43.142,OST,johngross@jones.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
4160,2024-02-14 01:37:01,2024-02-15 15:10:35,206.174.99.211,18.176.66.97,Poseidon,fwilliams@mays.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Christy Green,,,
4161,2024-04-25 03:17:25,2024-04-25 03:17:25.910938,112.130.185.251,35.79.43.142,Poseidon,johngross@jones.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Christy Green,,,
4162,2024-05-19 05:06:40,2024-05-19 05:06:40.740731,206.0.98.240,35.79.43.142,Cobalt Strike,jschmitt@martinez.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Christy Green,,,
4163,2024-01-05 12:06:44,2024-01-10 02:28:47,63.79.24.226,157.2.65.239,Cobalt Strike,sarahallen@combs-anderson.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Deborah Hunter,,,
4164,2024-02-16 18:45:21,2024-02-16 18:45:21.710259,206.0.98.240,35.79.43.142,Cobalt Strike,seanlopez@green-bullock.com,cd /work/draw/event/training,PID 15662,Failed,Navigating to a directory,Richard Mcbride,,,
4165,2024-03-14 17:05:22,2024-03-14 17:05:22.312962,42.118.146.148,126.91.142.205,Cobalt Strike,sarahallen@combs-anderson.com,inject-assembly 4451 /third/middle.exe,PID 23112,Failed,Injecting assembly into a process,Christy Green,,,
4166,2024-02-20 00:02:36,2024-02-20 00:02:36.681826,163.193.224.188,18.176.66.97,Cobalt Strike,sfranklin@gordon.com,spawn x64 HTTPS,PID 24618,Success,Navigating to a directory,Christy Green,,,
4167,2023-12-28 06:22:33,2024-01-05 15:24:05,112.130.185.251,64.69.133.141,Poseidon,johngross@jones.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Christy Green,,,
4168,2024-03-17 05:15:16,2024-03-17 05:15:16.473027,112.130.185.251,157.2.65.239,Cobalt Strike,johngross@jones.com,shinject 13530 x64 /edge.bin,PID 20047,Failed,Attempting process injection,Christy Green,,,
4169,2024-06-02 07:51:36,2024-06-02 07:51:36.478595,63.79.24.226,35.79.43.142,Cobalt Strike,jschmitt@martinez.com,sleep 59,PID 14288,Success,Sleeping a beacon,Deborah Hunter,,,
4170,2024-05-08 16:47:38,2024-05-08 16:47:38.576779,155.225.136.72,126.91.142.205,Cobalt Strike,seanlopez@green-bullock.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Richard Mcbride,,,
4171,2024-01-09 06:45:16,2024-01-16 02:08:43,155.225.136.72,18.176.66.97,Cobalt Strike,johngross@jones.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
4172,2024-01-07 17:29:51,2024-01-08 05:52:05,206.174.99.211,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Richard Mcbride,,,
4173,2024-01-20 20:32:50,2024-02-10 04:55:17,206.0.98.240,126.91.142.205,Cobalt Strike,fwilliams@mays.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Richard Mcbride,,,
4174,2024-06-14 16:59:00,2024-06-14 16:59:00.125220,206.0.98.240,157.2.65.239,Cobalt Strike,sfranklin@gordon.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Christy Green,,,
4175,2024-05-01 21:23:00,2024-05-01 21:23:00.312513,112.130.185.251,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Deborah Hunter,,,
4176,2024-01-25 15:51:03,2024-02-06 07:05:24,206.0.98.240,84.240.138.150,Poseidon,johngross@jones.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Deborah Hunter,,,
4177,2024-05-16 09:27:26,2024-05-16 09:27:26.047471,155.225.136.72,157.2.65.239,Poseidon,johngross@jones.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Richard Mcbride,,,
4178,2024-06-05 07:41:25,2024-06-05 07:41:25.515294,206.0.98.240,18.176.66.97,OST,seanlopez@green-bullock.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Deborah Hunter,,,
4179,2024-02-04 17:46:25,2024-02-04 23:03:55,155.225.136.72,18.176.66.97,Poseidon,sarahallen@combs-anderson.com,pty curl,"PID 10472, Callback 96",Failed,Attempting to use cURL,Richard Mcbride,,,
4180,2024-04-15 04:46:48,2024-04-15 04:46:48.648740,206.174.99.211,35.79.43.142,Poseidon,johngross@jones.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Richard Mcbride,,,
4181,2024-06-14 21:11:40,2024-06-14 21:11:40.238045,42.118.146.148,84.240.138.150,Poseidon,jschmitt@martinez.com,"socks {""action"":""start"",""port"":17228}","PID 4150, Callback 98",Success,Attempting to start a SOCKS proxy,Christy Green,,,
4182,2024-05-25 10:41:57,2024-05-25 10:41:57.067248,155.225.136.72,126.91.142.205,Cobalt Strike,seanlopez@green-bullock.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Christy Green,,,
4183,2024-01-24 02:11:06,2024-02-11 20:23:32,163.193.224.188,157.2.65.239,OST,hendersonjohn@dalton-lam.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Richard Mcbride,,,
4184,2024-05-31 22:15:41,2024-05-31 22:15:41.660710,112.130.185.251,35.79.43.142,Poseidon,sarahallen@combs-anderson.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Success,Attempting to upload a file,Richard Mcbride,,,
4185,2024-05-31 09:51:42,2024-05-31 09:51:42.284368,63.79.24.226,64.69.133.141,Cobalt Strike,seanlopez@green-bullock.com,upload /western/board/job.csv,PID 5354,Success,Attempting a file upload,Christy Green,,,
4186,2024-01-21 12:08:50,2024-01-22 16:13:47,163.193.224.188,64.69.133.141,OST,johngross@jones.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Richard Mcbride,,,
4187,2024-04-04 23:22:36,2024-04-04 23:22:36.081477,63.79.24.226,18.176.66.97,Poseidon,seanlopez@green-bullock.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Richard Mcbride,,,
4188,2024-02-11 06:20:55,2024-02-16 05:54:53,206.0.98.240,84.240.138.150,Poseidon,seanlopez@green-bullock.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Deborah Hunter,,,
4189,2024-04-17 06:20:05,2024-04-17 06:20:05.703962,206.0.98.240,64.69.133.141,Poseidon,fwilliams@mays.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Deborah Hunter,,,
4190,2024-01-23 00:58:34,2024-02-01 06:43:37,155.225.136.72,174.200.177.205,Poseidon,seanlopez@green-bullock.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Richard Mcbride,,,
4191,2024-05-10 05:52:53,2024-05-10 05:52:53.645884,112.130.185.251,174.200.177.205,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Deborah Hunter,,,
4192,2024-02-26 08:21:40,2024-02-26 08:21:40.932642,63.79.24.226,18.176.66.97,OST,sfranklin@gordon.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Deborah Hunter,,,
4193,2024-04-04 20:03:29,2024-04-04 20:03:29.448176,155.225.136.72,174.200.177.205,Poseidon,seanlopez@green-bullock.com,pty ./kubectl can-i create pod,"PID 11021, Callback 4",Failed,Conducting container discovery,Richard Mcbride,,,
4194,2023-12-16 10:57:24,2024-01-08 06:30:29,63.79.24.226,64.69.133.141,OST,sarahallen@combs-anderson.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Richard Mcbride,,,
4195,2024-03-08 17:47:20,2024-03-08 17:47:20.209422,155.225.136.72,126.91.142.205,Cobalt Strike,johngross@jones.com,sleep 59,PID 14288,Success,Sleeping a beacon,Richard Mcbride,,,
4196,2023-12-21 15:03:31,2024-01-11 12:57:27,163.193.224.188,174.200.177.205,Cobalt Strike,sarahallen@combs-anderson.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Richard Mcbride,,,
4197,2024-03-05 02:24:51,2024-03-05 02:24:51.583901,112.130.185.251,157.2.65.239,Poseidon,seanlopez@green-bullock.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Christy Green,,,
4198,2024-02-21 23:21:28,2024-02-21 23:21:28.203898,163.193.224.188,157.2.65.239,Poseidon,fwilliams@mays.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Failed,Conducting container discovery,Deborah Hunter,,,
4199,2024-02-07 00:06:14,2024-02-15 05:38:56,206.0.98.240,64.69.133.141,Poseidon,johngross@jones.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Richard Mcbride,,,
4200,2024-04-19 22:24:07,2024-04-19 22:24:07.473696,155.225.136.72,157.2.65.239,Cobalt Strike,jschmitt@martinez.com,execute-assembly /already/no.exe,PID 27839,Success,Running a local .NET executable,Deborah Hunter,,,
4201,2024-01-22 04:58:08,2024-02-02 15:16:55,63.79.24.226,157.2.65.239,OST,sfranklin@gordon.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Failed,Using BBOT port scan,Richard Mcbride,,,
4202,2023-12-28 18:52:09,2024-02-16 05:40:03,63.79.24.226,84.240.138.150,Poseidon,johngross@jones.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Richard Mcbride,,,
4203,2024-04-23 14:46:35,2024-04-23 14:46:35.715212,63.79.24.226,157.2.65.239,Cobalt Strike,hendersonjohn@dalton-lam.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Deborah Hunter,,,
4204,2024-06-08 15:23:00,2024-06-08 15:23:00.386609,112.130.185.251,84.240.138.150,Poseidon,seanlopez@green-bullock.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Christy Green,,,
4205,2024-06-10 10:34:03,2024-06-10 10:34:03.425755,63.79.24.226,35.79.43.142,Poseidon,seanlopez@green-bullock.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Deborah Hunter,,,
4206,2024-03-07 01:53:56,2024-03-07 01:53:56.028426,206.174.99.211,157.2.65.239,Poseidon,sfranklin@gordon.com,"upload {""file_id"":""fba94ea9-392e-47e6-ba14-b926c198995e"",""remote_path""/production/tough.wav"",""overwrite"":false}","PID 10980, Callback 52",Success,Attempting to upload a file,Christy Green,,,
4207,2023-12-17 00:46:26,2023-12-17 14:17:09,206.174.99.211,126.91.142.205,Cobalt Strike,jschmitt@martinez.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Failed,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
4208,2024-01-14 14:19:58,2024-02-14 10:59:37,163.193.224.188,84.240.138.150,Cobalt Strike,sfranklin@gordon.com,pwd,PID 29413,Success,Obtaining current working directory,Richard Mcbride,,,
4209,2024-03-06 08:50:33,2024-03-06 08:50:33.963051,63.79.24.226,64.69.133.141,Poseidon,sarahallen@combs-anderson.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Richard Mcbride,,,
4210,2024-06-07 11:46:01,2024-06-07 11:46:01.549477,206.174.99.211,157.2.65.239,OST,hendersonjohn@dalton-lam.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Christy Green,,,
4211,2024-01-05 18:59:40,2024-01-23 17:43:00,63.79.24.226,126.91.142.205,Cobalt Strike,sfranklin@gordon.com,sleep 59,PID 14288,Success,Sleeping a beacon,Richard Mcbride,,,
4212,2024-03-30 07:49:16,2024-03-30 07:49:16.340994,155.225.136.72,64.69.133.141,OST,jschmitt@martinez.com,ls,PID: 13267,Failed,Listing files and directories,Christy Green,,,
4213,2024-03-09 15:25:11,2024-03-09 15:25:11.805939,206.0.98.240,174.200.177.205,OST,hendersonjohn@dalton-lam.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Deborah Hunter,,,
4214,2024-01-01 08:28:39,2024-01-24 07:13:36,206.174.99.211,84.240.138.150,Cobalt Strike,seanlopez@green-bullock.com,pwd,PID 29413,Failed,Obtaining current working directory,Christy Green,,,
4215,2024-02-08 23:35:35,2024-02-13 00:24:17,163.193.224.188,84.240.138.150,Cobalt Strike,johngross@jones.com,sleep 59,PID 14288,Success,Sleeping a beacon,Christy Green,,,
4216,2024-02-16 15:56:00,2024-02-16 15:56:00.893374,63.79.24.226,126.91.142.205,Poseidon,fwilliams@mays.com,pty kubectl get namespaces,"PID 1034, Callback 17",Failed,Conducting container discovery,Richard Mcbride,,,
4217,2024-06-19 23:59:50,2024-06-19 23:59:50.639116,163.193.224.188,126.91.142.205,OST,hendersonjohn@dalton-lam.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Richard Mcbride,,,
4218,2024-06-15 14:32:26,2024-06-15 14:32:26.784405,163.193.224.188,174.200.177.205,Cobalt Strike,johngross@jones.com,inject-assembly 4451 /third/middle.exe,PID 23112,Success,Injecting assembly into a process,Deborah Hunter,,,
4219,2024-01-15 10:10:01,2024-01-19 10:13:39,163.193.224.188,126.91.142.205,OST,sarahallen@combs-anderson.com,ls,PID: 13267,Failed,Listing files and directories,Deborah Hunter,,,
4220,2024-06-27 01:25:56,2024-06-27 01:25:56.130302,155.225.136.72,18.176.66.97,Poseidon,sarahallen@combs-anderson.com,pty ./kubectl get secrets,"PID 14863, Callback 32",Success,Conducting container discovery,Deborah Hunter,,,
4221,2024-06-10 01:29:16,2024-06-10 01:29:16.323096,155.225.136.72,18.176.66.97,OST,fwilliams@mays.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Christy Green,,,
4222,2024-01-31 06:48:20,2024-02-01 12:34:50,63.79.24.226,126.91.142.205,Poseidon,sarahallen@combs-anderson.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Deborah Hunter,,,
4223,2024-06-17 14:02:35,2024-06-17 14:02:35.199249,155.225.136.72,174.200.177.205,Cobalt Strike,fwilliams@mays.com,spawnto x64 /hour/beautiful.numbers,PID 15526,Success,Selecting executable for post-exploitation jobs,Richard Mcbride,,,
4224,2024-01-17 09:06:36,2024-01-23 16:15:16,42.118.146.148,84.240.138.150,Poseidon,seanlopez@green-bullock.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Christy Green,,,
4225,2024-03-17 18:27:30,2024-03-17 18:27:30.887569,112.130.185.251,18.176.66.97,Poseidon,johngross@jones.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Failed,Conducting container discovery,Christy Green,,,
4226,2024-05-21 23:11:33,2024-05-21 23:11:33.322551,206.174.99.211,35.79.43.142,OST,seanlopez@green-bullock.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Christy Green,,,
4227,2024-03-06 20:16:48,2024-03-06 20:16:48.428543,112.130.185.251,18.176.66.97,OST,johngross@jones.com,ls,PID: 13267,Failed,Listing files and directories,Christy Green,,,
4228,2024-06-25 05:18:03,2024-06-25 05:18:03.426195,163.193.224.188,126.91.142.205,Cobalt Strike,seanlopez@green-bullock.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Deborah Hunter,,,
4229,2024-02-29 02:03:30,2024-02-29 02:03:30.599666,63.79.24.226,174.200.177.205,OST,sfranklin@gordon.com,sleep 99,PID: 27092,Success,Sleeping a beacon,Deborah Hunter,,,
4230,2024-04-28 05:50:13,2024-04-28 05:50:13.194214,206.0.98.240,35.79.43.142,Cobalt Strike,johngross@jones.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Deborah Hunter,,,
4231,2024-03-12 08:53:59,2024-03-12 08:53:59.265308,206.0.98.240,126.91.142.205,Poseidon,sfranklin@gordon.com,getenv,"PID 25658, Callback 42",Success,Attempting to get environment variables,Christy Green,,,
4232,2024-02-26 23:08:27,2024-02-26 23:08:27.451561,42.118.146.148,35.79.43.142,OST,sarahallen@combs-anderson.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Deborah Hunter,,,
4233,2023-12-19 17:58:13,2024-01-19 04:58:46,206.0.98.240,126.91.142.205,Cobalt Strike,hendersonjohn@dalton-lam.com,sleep 59,PID 14288,Failed,Sleeping a beacon,Deborah Hunter,,,
4234,2024-03-30 12:59:24,2024-03-30 12:59:24.028744,42.118.146.148,126.91.142.205,Poseidon,hendersonjohn@dalton-lam.com,pty ./kubectl get pods,"PID 24116, Callback 48",Success,Conducting container discovery,Richard Mcbride,,,
4235,2024-01-27 21:07:01,2024-02-06 20:33:54,63.79.24.226,18.176.66.97,Poseidon,sfranklin@gordon.com,pty curl,"PID 10472, Callback 96",Success,Attempting to use cURL,Deborah Hunter,,,
4236,2024-05-29 03:49:56,2024-05-29 03:49:56.065644,155.225.136.72,64.69.133.141,Cobalt Strike,johngross@jones.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Richard Mcbride,,,
4237,2024-04-10 11:40:33,2024-04-10 11:40:33.189163,206.174.99.211,174.200.177.205,Poseidon,jschmitt@martinez.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Success,Conducting container discovery,Deborah Hunter,,,
4238,2024-05-16 20:32:21,2024-05-16 20:32:21.483114,206.0.98.240,84.240.138.150,Cobalt Strike,johngross@jones.com,execute-assembly /already/no.exe,PID 27839,Failed,Running a local .NET executable,Christy Green,,,
4239,2024-01-05 12:44:00,2024-01-16 03:42:28,206.0.98.240,126.91.142.205,Cobalt Strike,fwilliams@mays.com,spawn x64 HTTPS,PID 24618,Failed,Navigating to a directory,Christy Green,,,
4240,2024-04-30 23:16:44,2024-04-30 23:16:44.755644,63.79.24.226,35.79.43.142,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Success,Obtaining user context,Richard Mcbride,,,
4241,2024-05-11 22:02:25,2024-05-11 22:02:25.678382,206.0.98.240,157.2.65.239,Cobalt Strike,sarahallen@combs-anderson.com,pwd,PID 29413,Failed,Obtaining current working directory,Richard Mcbride,,,
4242,2024-04-25 11:56:50,2024-04-25 11:56:50.361896,163.193.224.188,84.240.138.150,OST,jschmitt@martinez.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Deborah Hunter,,,
4243,2024-03-09 10:36:19,2024-03-09 10:36:19.822217,63.79.24.226,84.240.138.150,OST,fwilliams@mays.com,ls,PID: 13267,Success,Listing files and directories,Christy Green,,,
4244,2023-12-30 15:42:46,2024-01-20 14:29:37,206.0.98.240,84.240.138.150,OST,hendersonjohn@dalton-lam.com,cd /maintain/father,PID: 13177,Failed,Navigating to a directory,Deborah Hunter,,,
4245,2024-02-11 21:01:00,2024-02-15 16:13:46,163.193.224.188,18.176.66.97,Poseidon,jschmitt@martinez.com,pty whoami,"PID 1514, Callback 14",Failed,Obtaining user context,Richard Mcbride,,,
4246,2024-02-27 03:12:05,2024-02-27 03:12:05.701529,163.193.224.188,35.79.43.142,Cobalt Strike,sarahallen@combs-anderson.com,pwd,PID 29413,Failed,Obtaining current working directory,Christy Green,,,
4247,2024-02-17 05:10:12,2024-02-17 05:10:12.793576,206.0.98.240,174.200.177.205,OST,fwilliams@mays.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Richard Mcbride,,,
4248,2024-03-23 05:47:24,2024-03-23 05:47:24.918252,206.0.98.240,157.2.65.239,OST,fwilliams@mays.com,sleep 99,PID: 27092,Failed,Sleeping a beacon,Christy Green,,,
4249,2023-12-16 05:22:33,2024-02-08 05:24:29,42.118.146.148,126.91.142.205,OST,johngross@jones.com,download /form/with/player.mp3,PID: 16216,Success,Downloading a file,Christy Green,,,
4250,2023-12-28 22:07:37,2024-01-29 14:39:58,42.118.146.148,126.91.142.205,Cobalt Strike,johngross@jones.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Christy Green,,,
4251,2024-03-02 08:34:52,2024-03-02 08:34:52.485934,42.118.146.148,64.69.133.141,Poseidon,fwilliams@mays.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Richard Mcbride,,,
4252,2024-01-19 19:58:55,2024-01-20 01:47:36,163.193.224.188,126.91.142.205,Poseidon,sarahallen@combs-anderson.com,pty kubectl get namespaces,"PID 1034, Callback 17",Success,Conducting container discovery,Deborah Hunter,,,
4253,2024-02-25 04:37:19,2024-02-25 04:37:19.348190,63.79.24.226,126.91.142.205,OST,seanlopez@green-bullock.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Richard Mcbride,,,
4254,2024-04-14 19:44:03,2024-04-14 19:44:03.594968,206.0.98.240,64.69.133.141,OST,johngross@jones.com,bbot -t alvarez-ware.com-m nmap,PID: 10705,Success,Using BBOT port scan,Richard Mcbride,,,
4255,2024-01-19 21:20:09,2024-02-09 03:24:23,206.0.98.240,157.2.65.239,Cobalt Strike,sfranklin@gordon.com,pwd,PID 29413,Failed,Obtaining current working directory,Christy Green,,,
4256,2024-02-12 14:13:55,2024-02-14 12:55:43,163.193.224.188,18.176.66.97,Cobalt Strike,hendersonjohn@dalton-lam.com,shinject 13530 x64 /edge.bin,PID 20047,Failed,Attempting process injection,Richard Mcbride,,,
4257,2024-01-03 20:55:51,2024-01-27 17:58:37,112.130.185.251,64.69.133.141,OST,johngross@jones.com,cd /maintain/father,PID: 13177,Success,Navigating to a directory,Richard Mcbride,,,
4258,2024-02-11 23:05:09,2024-02-12 09:09:46,42.118.146.148,64.69.133.141,Poseidon,sarahallen@combs-anderson.com,getenv,"PID 25658, Callback 42",Failed,Attempting to get environment variables,Deborah Hunter,,,
4259,2024-03-31 06:08:23,2024-03-31 06:08:23.631233,42.118.146.148,18.176.66.97,OST,jschmitt@martinez.com,download /form/with/player.mp3,PID: 16216,Failed,Downloading a file,Richard Mcbride,,,
4260,2024-02-03 04:30:11,2024-02-15 10:17:03,42.118.146.148,64.69.133.141,OST,hendersonjohn@dalton-lam.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Success,Navigating to a directory,Christy Green,,,
4261,2024-01-27 13:19:09,2024-02-03 21:27:53,112.130.185.251,174.200.177.205,Cobalt Strike,sarahallen@combs-anderson.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Christy Green,,,
4262,2024-04-03 06:46:32,2024-04-03 06:46:32.409875,155.225.136.72,157.2.65.239,Poseidon,sfranklin@gordon.com,sleep 38,"PID 16959, Callback 63",Success,Sleeping a beacon,Christy Green,,,
4263,2024-04-20 03:39:02,2024-04-20 03:39:02.651515,63.79.24.226,64.69.133.141,OST,jschmitt@martinez.com,python3 CloudScraper.py -u aguilar.com >> /deal/more.txt,PID: 22835,Failed,Navigating to a directory,Christy Green,,,
4264,2024-01-17 22:44:01,2024-01-31 03:38:34,206.174.99.211,18.176.66.97,Poseidon,fwilliams@mays.com,pty ./kubectl get namespaces -n cluster,"PID 459, Callback 68",Failed,Conducting container discovery,Richard Mcbride,,,
4265,2024-02-10 22:35:21,2024-02-15 07:48:49,206.174.99.211,126.91.142.205,Cobalt Strike,seanlopez@green-bullock.com,cd /work/draw/event/training,PID 15662,Success,Navigating to a directory,Deborah Hunter,,,
4266,2024-04-22 17:35:01,2024-04-22 17:35:01.155268,206.174.99.211,35.79.43.142,Cobalt Strike,hendersonjohn@dalton-lam.com,pwd,PID 29413,Failed,Obtaining current working directory,Deborah Hunter,,,
4267,2024-03-05 03:02:59,2024-03-05 03:02:59.716146,206.0.98.240,157.2.65.239,OST,sfranklin@gordon.com,bbot -t bryant.biz-f safe -ef passive,PID: 27493,Failed,Using BBOT safe and passive modules,Christy Green,,,
